7.439,5.026,-11.311,4.1055,3.0902
7.321,4.939,-11.971,4.4571,2.2946
7.164,5.008,-12.322,4.5859,1.6907
6.746,5.206,-12.679,4.2602,1.1588
6.118,5.454,-13.133,3.3469,0.6737
5.459,5.688,-13.504,2.5037,0.55705
4.77,5.871,-13.855,2.0156,0.49254
4.124,6,-14.212,1.601,0.53123
3.508,6.063,-14.53,1.2682,0.63982
3.022,6.006,-14.777,0.94554,0.6613
2.608,5.896,-14.967,0.62259,0.70978
2.229,5.684,-15.051,0.2996,0.6815
1.865,5.38,-15.023,0.048873,0.59136
1.634,4.903,-14.518,-0.13407,0.5791
0.844,4.55,-14.883,-0.37518,0.59664
0.211,4.188,-14.928,-0.53824,0.49059
-0.071,3.857,-14.302,-0.61451,0.062972
-0.531,3.608,-14.158,-0.54661,-0.51936
-0.853,3.409,-13.863,-0.53074,-1.158
-1.213,3.291,-13.596,-0.58357,-1.817
-1.56,3.259,-13.418,-0.58007,-2.5061
-1.824,3.213,-13.243,-0.521,-3.0552
-2.021,2.965,-13.087,-0.53286,-3.3288
-2.21,2.649,-12.958,-0.40331,-3.3144
-2.38,2.538,-12.866,-0.30235,-3.3048
-2.565,2.504,-12.808,0.0267,-3.3074
-2.778,2.608,-12.663,0.44336,-3.3189
-3.009,2.987,-12.294,0.66258,-3.3389
-3.561,3.706,-12.14,0.98628,-3.4211
-4.451,4.28,-12.302,1.4971,-3.493
-5.563,4.17,-12.614,1.9685,-3.425
-6.585,4.62,-12.815,2.463,-3.4111
-6.857,5.994,-12.548,3.0568,-2.9897
-6.711,7.268,-12.148,3.8913,-1.522
-6.663,7.878,-11.992,4.6695,0.22845
-6.746,7.784,-12.088,4.8457,1.4192
-6.885,7.316,-12.317,4.5666,2.4479
-6.863,6.691,-12.322,4.105,3.2404
-6.415,6.009,-11.874,3.5573,3.5298
-5.562,5.237,-10.967,2.8688,2.922
-4.599,4.489,-9.894,2.0063,1.1782
-3.901,3.978,-9.295,1.4304,-0.58312
-3.238,3.865,-8.633,1.2907,-1.6493
-2.927,3.932,-8.343,1.2857,-2.6029
